SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
551,TN,Tamil Nadu,TN_Kancheepuram,Kancheepuram,9094,3333,5650,111,0,490,222,267,1,,
552,TN,Tamil Nadu,TN_Kanyakumari,Kanyakumari,4693,2004,2650,39,0,170,-11,175,6,,
553,TN,Tamil Nadu,TN_Karur,Karur,496,228,259,9,0,27,19,8,0,,
554,TN,Tamil Nadu,TN_Krishnagiri,Krishnagiri,968,475,479,14,0,18,-20,38,0,,
555,TN,Tamil Nadu,TN_Madurai,Madurai,11009,2349,8423,237,0,171,-35,202,4,,
556,TN,Tamil Nadu,TN_Nagapattinam,Nagapattinam,735,339,388,8,0,50,34,16,0,,
557,TN,Tamil Nadu,TN_Namakkal,Namakkal,694,334,354,6,0,42,25,16,1,,
564,TN,Tamil Nadu,TN_Nilgiris,Nilgiris,766,132,632,2,0,-2,-29,27,0,,
558,TN,Tamil Nadu,TN_Perambalur,Perambalur,477,217,257,3,0,55,55,0,0,,
559,TN,Tamil Nadu,TN_Pudukkottai,Pudukkottai,2167,863,1279,25,0,113,3,110,0,,
560,TN,Tamil Nadu,TN_Ramanathapuram,Ramanathapuram,3255,634,2557,64,0,40,-36,74,2,,
733,TN,Tamil Nadu,TN_Ranipet,Ranipet,5130,1847,3251,32,0,361,122,237,2,,
561,TN,Tamil Nadu,TN_Salem,Salem,3622,1097,2494,31,0,124,45,78,1,,
562,TN,Tamil Nadu,TN_Sivaganga,Sivaganga,2365,450,1872,43,0,64,-19,83,0,,
731,TN,Tamil Nadu,TN_Tenkasi,Tenkasi,2032,1027,986,19,0,64,40,24,0,,
563,TN,Tamil Nadu,TN_Thanjavur,Thanjavur,2748,1114,1606,28,0,97,23,72,2,,
565,TN,Tamil Nadu,TN_Theni,Theni,5028,2180,2786,62,0,299,140,154,5,,
566,TN,Tamil Nadu,TN_Thiruvallur,Thiruvallur,13836,3619,9978,239,0,355,-318,663,10,,
567,TN,Tamil Nadu,TN_Thiruvarur,Thiruvarur,1693,562,1122,9,0,28,-51,79,0,,
568,TN,Tamil Nadu,TN_Thoothukkudi,Thoothukkudi,7107,2214,4846,47,0,295,-61,352,4,,
569,TN,Tamil Nadu,TN_Tiruchirappalli,Tiruchirappalli,4146,1551,2535,60,0,135,31,104,0,,
570,TN,Tamil Nadu,TN_Tirunelveli,Tirunelveli,5212,2226,2948,38,0,210,113,94,3,,
735,TN,Tamil Nadu,TN_Tirupathur,Tirupathur,1146,431,699,16,0,47,5,37,5,,
571,TN,Tamil Nadu,TN_Tiruppur,Tiruppur,873,308,555,10,0,46,-8,54,0,,
572,TN,Tamil Nadu,TN_Tiruvannamalai,Tiruvannamalai,6052,1922,4068,62,0,42,-29,66,5,,
573,TN,Tamil Nadu,TN_Vellore,Vellore,5875,1350,4464,61,0,198,95,99,4,,
574,TN,Tamil Nadu,TN_Viluppuram,Viluppuram,3764,934,2795,35,0,170,15,155,0,,
575,TN,Tamil Nadu,TN_Virudhunagar,Virudhunagar,7865,2823,4957,85,0,363,169,188,6,,
609,TR,Tripura,TR_Dhalai,Dhalai,622,95,524,2,1,4,-168,172,0,,
610,TR,Tripura,TR_Gomati,Gomati,821,297,517,6,1,43,10,33,0,,
611,TR,Tripura,TR_Khowai,Khowai,392,109,280,3,0,26,18,8,0,,
612,TR,Tripura,TR_North Tripura,North Tripura,412,205,200,1,6,47,-5,52,0,,
613,TR,Tripura,TR_Sipahijala,Sipahijala,1123,282,840,1,0,26,-3,29,0,,
614,TR,Tripura,TR_South Tripura,South Tripura,342,101,235,3,3,17,0,17,0,,
615,TR,Tripura,TR_Unokoti,Unokoti,131,21,110,0,0,6,-2,8,0,,
616,TR,Tripura,TR_West Tripura,West Tripura,1153,520,621,5,7,105,59,46,0,,
617,UP,Uttar Pradesh,UP_Agra,Agra,1793,270,1423,100,0,50,30,20,0,,
618,UP,Uttar Pradesh,UP_Aligarh,Aligarh,1391,724,641,26,0,67,65,2,0,,
619,UP,Uttar Pradesh,UP_Ambedkar Nagar,Ambedkar Nagar,250,99,141,10,0,28,23,5,0,,
620,UP,Uttar Pradesh,UP_Amethi,Amethi,462,100,360,2,0,28,22,6,0,,
621,UP,Uttar Pradesh,UP_Amroha,Amroha,603,287,305,11,0,30,29,1,0,,
622,UP,Uttar Pradesh,UP_Auraiya,Auraiya,367,198,167,2,0,10,10,0,0,,
765,UP,Uttar Pradesh,UP_Ayodhya,Ayodhya,1194,544,636,14,0,142,127,14,1,,
623,UP,Uttar Pradesh,UP_Azamgarh,Azamgarh,964,565,387,12,0,88,85,2,1,,
624,UP,Uttar Pradesh,UP_Baghpat,Baghpat,623,85,526,12,0,7,3,4,0,,
625,UP,Uttar Pradesh,UP_Bahraich,Bahraich,510,273,231,6,0,31,21,10,0,,
626,UP,Uttar Pradesh,UP_Ballia,Ballia,1723,934,773,16,0,70,41,29,0,,
627,UP,Uttar Pradesh,UP_Balrampur,Balrampur,272,131,134,7,0,19,14,5,0,,
628,UP,Uttar Pradesh,UP_Banda,Banda,317,140,175,2,0,11,11,0,0,,
629,UP,Uttar Pradesh,UP_Barabanki,Barabanki,1145,394,741,10,0,70,61,9,0,,
630,UP,Uttar Pradesh,UP_Bareilly,Bareilly,2336,1477,802,57,0,294,147,142,5,,
631,UP,Uttar Pradesh,UP_Basti,Basti,911,374,510,27,0,37,25,9,3,,
632,UP,Uttar Pradesh,UP_Bhadohi,Bhadohi,596,324,266,6,0,2,-37,39,0,,
633,UP,Uttar Pradesh,UP_Bijnor,Bijnor,703,125,569,9,0,24,1,23,0,,
634,UP,Uttar Pradesh,UP_Budaun,Budaun,430,137,290,3,0,64,57,7,0,,
635,UP,Uttar Pradesh,UP_Bulandshahr,Bulandshahr,1356,271,1053,32,0,46,14,31,1,,
636,UP,Uttar Pradesh,UP_Chandauli,Chandauli,911,346,557,8,0,19,-2,20,1,,
637,UP,Uttar Pradesh,UP_Chitrakoot,Chitrakoot,237,116,119,2,0,13,13,0,0,,
638,UP,Uttar Pradesh,UP_Deoria,Deoria,1126,430,687,9,0,102,74,28,0,,
639,UP,Uttar Pradesh,UP_Etah,Etah,337,197,130,10,0,6,5,1,0,,
640,UP,Uttar Pradesh,UP_Etawah,Etawah,694,224,447,23,0,15,9,6,0,,
642,UP,Uttar Pradesh,UP_Farrukhabad,Farrukhabad,465,121,332,12,0,11,2,9,0,,
643,UP,Uttar Pradesh,UP_Fatehpur,Fatehpur,484,200,276,8,0,31,31,0,0,,
644,UP,Uttar Pradesh,UP_Firozabad,Firozabad,722,104,577,41,0,20,8,12,0,,
645,UP,Uttar Pradesh,UP_Gautam Buddha Nagar,Gautam Buddha Nagar,5203,796,4365,42,0,132,66,66,0,,
646,UP,Uttar Pradesh,UP_Ghaziabad,Ghaziabad,4937,759,4114,64,0,81,-21,102,0,,
647,UP,Uttar Pradesh,UP_Ghazipur,Ghazipur,1139,561,568,10,0,71,56,15,0,,
648,UP,Uttar Pradesh,UP_Gonda,Gonda,691,380,299,12,0,42,38,4,0,,
649,UP,Uttar Pradesh,UP_Gorakhpur,Gorakhpur,2110,1155,906,49,0,155,110,43,2,,
650,UP,Uttar Pradesh,UP_Hamirpur,Hamirpur,304,126,171,7,0,18,16,2,0,,
651,UP,Uttar Pradesh,UP_Hapur,Hapur,1246,219,1007,20,0,35,28,7,0,,
652,UP,Uttar Pradesh,UP_Hardoi,Hardoi,1079,444,624,11,0,45,22,23,0,,
653,UP,Uttar Pradesh,UP_Hathras,Hathras,264,34,224,6,0,5,-3,8,0,,
654,UP,Uttar Pradesh,UP_Jalaun,Jalaun,417,170,238,9,0,44,39,5,0,,
655,UP,Uttar Pradesh,UP_Jaunpur,Jaunpur,1924,948,961,15,0,63,12,51,0,,
656,UP,Uttar Pradesh,UP_Jhansi,Jhansi,2275,1024,1184,67,0,60,4,53,3,,
657,UP,Uttar Pradesh,UP_Kannauj,Kannauj,849,351,491,7,0,46,14,32,0,,
658,UP,Uttar Pradesh,UP_Kanpur Dehat,Kanpur Dehat,259,164,93,2,0,39,37,2,0,,
659,UP,Uttar Pradesh,UP_Kanpur Nagar,Kanpur Nagar,5018,2821,1998,199,0,321,285,30,6,,
660,UP,Uttar Pradesh,UP_Kasganj,Kasganj,411,129,281,1,0,4,1,3,0,,
661,UP,Uttar Pradesh,UP_Kaushambi,Kaushambi,333,52,277,4,0,3,-5,8,0,,
663,UP,Uttar Pradesh,UP_Kushinagar,Kushinagar,684,327,350,7,0,40,21,19,0,,
662,UP,Uttar Pradesh,UP_Lakhimpur Kheri,Lakhimpur Kheri,443,217,225,1,0,36,30,6,0,,
664,UP,Uttar Pradesh,UP_Lalitpur,Lalitpur,353,337,12,4,0,29,29,0,0,,
665,UP,Uttar Pradesh,UP_Lucknow,Lucknow,8178,4281,3802,95,0,563,-100,658,5,,
667,UP,Uttar Pradesh,UP_Maharajganj,Maharajganj,703,286,410,7,0,25,10,14,1,,
666,UP,Uttar Pradesh,UP_Mahoba,Mahoba,271,98,170,3,0,15,15,0,0,,
668,UP,Uttar Pradesh,UP_Mainpuri,Mainpuri,698,115,568,15,0,9,-28,36,1,,
669,UP,Uttar Pradesh,UP_Mathura,Mathura,878,270,578,30,0,11,-2,11,2,,
670,UP,Uttar Pradesh,UP_Mau,Mau,512,177,329,6,0,20,19,1,0,,
671,UP,Uttar Pradesh,UP_Meerut,Meerut,2252,413,1732,107,0,42,-27,69,0,,
672,UP,Uttar Pradesh,UP_Mirzapur,Mirzapur,728,397,317,14,0,178,168,9,1,,
673,UP,Uttar Pradesh,UP_Moradabad,Moradabad,1791,705,1033,53,0,62,26,36,0,,
674,UP,Uttar Pradesh,UP_Muzaffarnagar,Muzaffarnagar,821,248,553,20,0,28,21,7,0,,
675,UP,Uttar Pradesh,UP_Pilibhit,Pilibhit,698,431,263,4,0,65,44,20,1,,
676,UP,Uttar Pradesh,UP_Pratapgarh,Pratapgarh,411,234,164,13,0,45,40,4,1,,
677,UP,Uttar Pradesh,UP_Prayagraj,Prayagraj,2386,1425,910,51,0,232,213,19,0,,
678,UP,Uttar Pradesh,UP_Rae Bareli,Rae Bareli,561,264,286,11,0,21,20,1,0,,
679,UP,Uttar Pradesh,UP_Rampur,Rampur,1015,429,571,15,0,25,22,3,0,,
680,UP,Uttar Pradesh,UP_Saharanpur,Saharanpur,1037,378,647,12,0,17,-2,18,1,,
681,UP,Uttar Pradesh,UP_Sambhal,Sambhal,981,181,782,18,0,3,-2,5,0,,
682,UP,Uttar Pradesh,UP_Sant Kabir Nagar,Sant Kabir Nagar,952,335,607,10,0,69,54,15,0,,
683,UP,Uttar Pradesh,UP_Shahjahanpur,Shahjahanpur,985,535,443,7,0,89,56,32,1,,
684,UP,Uttar Pradesh,UP_Shamli,Shamli,440,135,298,7,0,8,-8,16,0,,
685,UP,Uttar Pradesh,UP_Shrawasti,Shrawasti,161,61,98,2,0,11,11,0,0,,
686,UP,Uttar Pradesh,UP_Siddharthnagar,Siddharthnagar,816,355,449,12,0,60,47,13,0,,
687,UP,Uttar Pradesh,UP_Sitapur,Sitapur,512,383,128,1,0,20,9,11,0,,
688,UP,Uttar Pradesh,UP_Sonbhadra,Sonbhadra,547,248,299,0,0,34,28,6,0,,
689,UP,Uttar Pradesh,UP_Sultanpur,Sultanpur,708,260,431,17,0,47,26,20,1,,
690,UP,Uttar Pradesh,UP_Unnao,Unnao,773,421,338,14,0,22,-15,37,0,,
691,UP,Uttar Pradesh,UP_Varanasi,Varanasi,2785,1699,1014,72,0,97,6,86,5,,
692,UT,Uttarakhand,UT_Almora,Almora,302,86,213,2,1,3,3,0,0,,
693,UT,Uttarakhand,UT_Bageshwar,Bageshwar,102,7,94,1,0,1,1,0,0,,
694,UT,Uttarakhand,UT_Chamoli,Chamoli,92,10,82,0,0,1,1,0,0,,
695,UT,Uttarakhand,UT_Champawat,Champawat,119,49,69,1,0,0,0,0,0,,
696,UT,Uttarakhand,UT_Dehradun,Dehradun,1659,422,1167,44,26,55,-43,95,3,,
697,UT,Uttarakhand,UT_Haridwar,Haridwar,1416,891,515,2,8,6,5,1,0,,
698,UT,Uttarakhand,UT_Nainital,Nainital,1104,419,669,15,1,34,-32,65,1,,
699,UT,Uttarakhand,UT_Pauri Garhwal,Pauri Garhwal,210,26,179,4,1,4,-4,8,0,,
700,UT,Uttarakhand,UT_Pithoragarh,Pithoragarh,143,73,70,0,0,0,0,0,0,,
701,UT,Uttarakhand,UT_Rudraprayag,Rudraprayag,76,9,66,1,0,3,3,0,0,,
702,UT,Uttarakhand,UT_Tehri Garhwal,Tehri Garhwal,517,57,458,2,0,5,5,0,0,,
703,UT,Uttarakhand,UT_Udham Singh Nagar,Udham Singh Nagar,1252,779,465,7,1,5,2,3,0,,
704,UT,Uttarakhand,UT_Uttarkashi,Uttarkashi,191,69,121,1,0,1,1,0,0,,
705,WB,West Bengal,WB_Alipurduar,Alipurduar,347,112,233,2,0,17,12,4,1,,
706,WB,West Bengal,WB_Bankura,Bankura,732,298,434,0,0,54,32,22,0,,
707,WB,West Bengal,WB_Birbhum,Birbhum,585,185,394,6,0,40,34,6,0,,
708,WB,West Bengal,WB_Cooch Behar,Cooch Behar,709,215,494,0,0,71,57,15,-1,,
709,WB,West Bengal,WB_Dakshin Dinajpur,Dakshin Dinajpur,1155,240,908,7,0,12,-57,69,0,,
710,WB,West Bengal,WB_Darjeeling,Darjeeling,2166,630,1514,22,0,122,52,70,0,,
711,WB,West Bengal,WB_Hooghly,Hooghly,3411,957,2393,61,0,94,12,80,2,,
712,WB,West Bengal,WB_Howrah,Howrah,7750,1887,5664,199,0,160,-69,227,2,,
713,WB,West Bengal,WB_Jalpaiguri,Jalpaiguri,1314,363,940,11,0,52,13,39,0,,
714,WB,West Bengal,WB_Jhargram,Jhargram,28,0,28,0,0,0,0,0,0,,
715,WB,West Bengal,WB_Kalimpong,Kalimpong,89,17,71,1,0,4,4,0,0,,
716,WB,West Bengal,WB_Kolkata,Kolkata,21639,6373,14506,760,0,670,-49,698,21,,
717,WB,West Bengal,WB_Malda,Malda,2287,328,1947,12,0,22,-38,59,1,,
719,WB,West Bengal,WB_Murshidabad,Murshidabad,814,238,565,11,0,34,8,24,2,,
720,WB,West Bengal,WB_Nadia,Nadia,1016,320,686,10,0,64,42,21,1,,
721,WB,West Bengal,WB_North 24 Parganas,North 24 Parganas,15131,4967,9823,341,0,644,218,413,13,,
0,WB,West Bengal,WB_Other State,Other State,66,0,63,3,0,0,0,0,0,,
722,WB,West Bengal,WB_Paschim Bardhaman,Paschim Bardhaman,808,276,523,9,0,22,-6,28,0,,
718,WB,West Bengal,WB_Paschim Medinipur,Paschim Medinipur,1183,300,868,15,0,43,-16,59,0,,
723,WB,West Bengal,WB_Purba Bardhaman,Purba Bardhaman,860,334,522,4,0,52,35,17,0,,
724,WB,West Bengal,WB_Purba Medinipur,Purba Medinipur,1518,406,1099,13,0,85,18,67,0,,
725,WB,West Bengal,WB_Purulia,Purulia,241,81,160,0,0,23,18,5,0,,
726,WB,West Bengal,WB_South 24 Parganas,South 24 Parganas,5182,1336,3759,87,0,199,32,164,3,,
727,WB,West Bengal,WB_Uttar Dinajpur,Uttar Dinajpur,1157,370,780,7,0,12,-19,31,0,,
728,AN,Andaman and Nicobar Islands,AN_Unknown,Unknown,496,309,181,5,1,0,0,0,0,,
729,AP,Andhra Pradesh,AP_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
730,AR,Arunachal Pradesh,AR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
731,AS,Assam,AS_Unknown,Unknown,5343,-4309,9649,0,3,0,0,0,0,,
732,BR,Bihar,BR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
733,CH,Chandigarh,CH_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
734,CT,Chhattisgarh,CT_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
735,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
737,DL,Delhi,DL_Unknown,Unknown,134810,9918,120930,3962,0,0,0,0,0,,
738,GA,Goa,GA_Unknown,Unknown,2749,0,2749,0,0,0,0,0,0,,
739,GJ,Gujarat,GJ_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
740,HR,Haryana,HR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
741,HP,Himachal Pradesh,HP_Unknown,Unknown,0,-3,0,0,3,0,0,0,0,,
742,JK,Jammu and Kashmir,JK_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
743,JH,Jharkhand,JH_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
744,KA,Karnataka,KA_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
745,KL,Kerala,KL_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
746,LA,Ladakh,LA_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
747,LD,Lakshadweep,LD_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
748,MP,Madhya Pradesh,MP_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
749,MH,Maharashtra,MH_Unknown,Unknown,10320,2512,7543,265,0,0,0,0,0,,
750,MN,Manipur,MN_Unknown,Unknown,27,-1269,1296,0,0,0,0,0,0,,
751,ML,Meghalaya,ML_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
752,MZ,Mizoram,MZ_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
753,NL,Nagaland,NL_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
754,OR,Odisha,OR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
755,PY,Puducherry,PY_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
756,PB,Punjab,PB_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
757,RJ,Rajasthan,RJ_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
758,SK,Sikkim,SK_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
759,TN,Tamil Nadu,TN_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
760,TG,Telangana,TG_Unknown,Unknown,457,-44869,44837,489,0,0,0,0,0,,
761,TR,Tripura,TR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
762,UP,Uttar Pradesh,UP_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
763,UT,Uttarakhand,UT_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
764,WB,West Bengal,WB_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
